station_name,latitude,longitude,source_type,kgis_code,station_code,department_code,raw_file
Halasurgate PS,12.9679059997634,77.5867767998637,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0006,PS - 87,164431386,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Sampangiramanagar PS,12.9630649998591,77.5921599999535,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0007,PS - 88,164431391,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Wilsongarden PS,12.9500430001231,77.5961980000424,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0008,PS - 89,164431388,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
High Grounds PS,12.9899573531302,77.5927664453475,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0009,PS - 90,164431394,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Sadashivanagar PS,13.0149094111584,77.5725447841245,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0010,PS - 91,164431396,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Seshadripuram PS,12.9879292996002,77.5735902002227,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0011,PS - 92,164431393,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Vyalikaval PS,13.0014925000938,77.5786416004447,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0012,PS - 93,164431395,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Banaswadi PS,13.0196345004026,77.6403087004,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0013,PS - 94,164431406,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Devarajeevanahalli PS,13.0093318996255,77.6103367001824,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0014,PS - 95,164431402,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Hennur PS,13.024142138905,77.6457466922352,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0015,PS - 96,164431408,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Kadugondana Halli PS,13.0250519004078,77.6274595998832,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0016,PS - 97,164431407,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Ramamurthy Nagar PS,13.0121958894059,77.6676147006279,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0017,PS - 98,164431409,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Byappanahalli PS,12.99146656405,77.6568733672614,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0018,PS - 99,164431411,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Halasur PS,12.9748128797954,77.6253330610102,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0019,PS - 100,164431410,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Indiranagar PS,12.9829857001463,77.638280000055,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0020,PS - 101,164431412,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Jeevan Bheemanagar PS,12.9676990004541,77.6553852996563,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0021,PS - 102,164431413,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Bharathi Nagar PS,12.9912025002823,77.6120856003067,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0022,PS - 103,164431401,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Commercial Street PS,12.9820757996245,77.6064306996423,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0023,PS - 104,164431400,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Pulakeshinagar PS,12.9992725573424,77.6196531704426,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0024,PS - 105,164431399,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Shivajinagar PS,12.9855097999292,77.6052475001124,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0025,PS - 106,164431403,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Amengad PS,16.0566130004213,75.9456940002023,Karnataka Police Station,29556054485990270000HMPOLPUOFFPOS0001,PS - 461,164701245,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Hungunda PS,16.0666995998932,76.0603622998149,Karnataka Police Station,29556054485989420000HMPOLPUOFFPOS0001,PS - 462,164701241,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Ilakal PS,15.9656960002354,76.1116999999779,Karnataka Police Station,29556054488030500000HMPOLPUOFFPOS0001,PS - 463,164701242,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Teradal PS,16.4954680004363,75.0563049998242,Karnataka Police Station,29556054435984030000HMPOLPUOFFPOS0001,PS - 465,164701260,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Bilagi PS,16.3493239999889,75.6122530000353,Karnataka Police Station,29556054445984990000HMPOLPUOFFPOS0001,PS - 466,164701263,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Jamakhandi Rural PS,16.5094629996778,75.2804450001517,Karnataka Police Station,29556054435984360000HMPOLPUOFFPOS0001,PS - 467,164701251,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Jamakhandi Town PS,16.5105400002348,75.2806300003701,Karnataka Police Station,29556054435984360000HMPOLPUOFFPOS0002,PS - 468,164701250,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Savalgi PS,16.6725900002822,75.3465899995999,Karnataka Police Station,29556054435984570000HMPOLPUOFFPOS0001,PS - 469,164701254,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Lokapur PS,16.1628055563863,75.3671666668059,Karnataka Police Station,29556054455986150000HMPOLPUOFFPOS0001,PS - 470,164701256,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Tilak Nagar PS,12.9283629998263,77.5905730004444,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0072,PS - 158,164431384,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Chamarajpet PS,12.9605426996297,77.5670263999736,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0073,PS - 159,164431364,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
City Market PS,12.964957672278,77.5761266577661,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0074,PS - 160,164431432,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Cottonpet PS,12.9680170243514,77.5700979326779,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0075,PS - 161,164431417,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Kalasipalya PS,12.9573704167974,77.5773576933696,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0076,PS - 162,164431431,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Upparpet PS,12.9744759561439,77.5748211347527,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0077,PS - 163,164431430,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Kanakapura Rural PS,12.5543489999296,77.4244669999111,Karnataka Police Station,29584056088032400000HMPOLPUOFFPOS0001,PS - 235,169771338,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Kanakapura Town PS,12.5466869996491,77.4226379999284,Karnataka Police Station,29584056088032400000HMPOLPUOFFPOS0002,PS - 236,169771337,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Kodihalli PS,12.4356590001252,77.494987999852,Karnataka Police Station,29584056086266090000HMPOLPUOFFPOS0001,PS - 237,169771339,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Kudur PS,13.1070760002698,77.1652650001427,Karnataka Police Station,29584056056260460000HMPOLPUOFFPOS0001,PS - 238,169770276,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Kumbalagudu PS,12.8751639997321,77.4441459996032,Karnataka Police Station,29572055436130620000HMPOLPUOFFPOS0001,PS - 239,169772003,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
M.K. Doddi PS,12.5960290001818,77.1183139998371,Karnataka Police Station,29584056076262280000HMPOLPUOFFPOS0001,PS - 240,169770285,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Magadi PS,12.955223999849,77.226469000388,Karnataka Police Station,29584056058032370000HMPOLPUOFFPOS0001,PS - 241,169770275,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Ramanagara Rural PS,12.7297119995962,77.2854290001578,Karnataka Police Station,29584056068032380000HMPOLPUOFFPOS0003,PS - 243,169771344,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Ramanagara Town PS,12.718978000031,77.2802889998055,Karnataka Police Station,29584056068032380000HMPOLPUOFFPOS0004,PS - 244,169771341,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Ramanagara Women PS,12.7297692562778,77.2851269495464,Karnataka Police Station,29584056068032380000HMPOLPUOFFPOS0005,PS - 245,169772208,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Sathanuru PS,12.4524269996001,77.3207669998468,Karnataka Police Station,29584056086265260000HMPOLPUOFFPOS0001,PS - 246,169771340,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Tavarekere PS,12.9662440004315,77.4007709999584,Karnataka Police Station,29572055436129790000HMPOLPUOFFPOS0001,PS - 247,169770277,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Chikkanayakanahalli PS,13.4095833334318,76.6191166667985,Karnataka Police Station,29571055326102140000HMPOLPUOFFPOS0001,PS - 248,164641652,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Handanakere PS,13.502821000084,76.4472850003111,Karnataka Police Station,29571055326100470000HMPOLPUOFFPOS0001,PS - 249,164641801,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Malleshwarm PS,12.9966449997394,77.569587000137,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0026,PS - 107,164431357,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Srirampura PS,12.9899929995949,77.5650049998011,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0027,PS - 108,164431358,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Subramanya Nagar PS,13.0033419996475,77.5536799999682,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0028,PS - 109,164431361,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Rajajinagar PS,12.9946259998528,77.5542170001696,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0029,PS - 110,164431360,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Rajgopal Nagar PS,13.017349999738,77.5135710004188,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0030,PS - 111,164431362,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Nandini Layout PS,13.0123670002594,77.5367059999833,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0032,PS - 113,164431363,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Yeshwanthapura PS,13.018195000432,77.5580990000111,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0033,PS - 114,164430006,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
"RMC Yard PS, Yeshwanthpura",13.023521263115,77.5499230793907,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0034,PS - 115,164431349,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Peenya PS,13.0360401362993,77.5211640244163,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0035,PS - 116,164431350,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
